Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 4393,https://www.congress.gov/bill/118th-congress/house-bill/4393,118th Congress (2023-2024),Customer Non-Discrimination Act,,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",6/27/23,Referred to the House Committee on the Judiciary.,6/27/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6040,https://www.congress.gov/bill/118th-congress/house-bill/6040,118th Congress (2023-2024),Protecting Our Kids from Harmful Research Act,,"Boebert, Lauren [Rep.-R-CO-3]",10/25/23,Referred to the House Committee on Education and the Workforce.,10/25/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3462,https://www.congress.gov/bill/118th-congress/house-bill/3462,118th Congress (2023-2024),Empower Parents to Protect Their Kids Act of 2023,,"Banks, Jim [Rep.-R-IN-3]",5/18/23,Referred to the House Committee on Education and the Workforce.,5/18/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3970,https://www.congress.gov/bill/118th-congress/house-bill/3970,118th Congress (2023-2024),LGBTQI+ Data Inclusion Act,,"Grijalva, Raúl M. [Rep.-D-AZ-7]",6/9/23,Referred to the House Committee on Oversight and Accountability.,6/9/23,Government Operations and Politics,"Sex, gender, sexual orientation discrimination",Right of privacy,Government information and archives,Census and government statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1585,https://www.congress.gov/bill/118th-congress/house-bill/1585,118th Congress (2023-2024),Prohibiting Parental Secrecy Policies In Schools Act of 2023,,"LaMalfa, Doug [Rep.-R-CA-1]",3/14/23,Referred to the House Committee on Education and the Workforce.,3/14/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4980,https://www.congress.gov/bill/118th-congress/house-bill/4980,118th Congress (2023-2024),Fair Calculations in Civil Damages Act of 2023,,"Casten, Sean [Rep.-D-IL-6]",7/27/23,Referred to the House Committee on the Judiciary.,7/27/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 429,https://www.congress.gov/bill/118th-congress/house-bill/429,118th Congress (2023-2024),No Tax Breaks for Radical Corporate Activism Act,,"Mast, Brian J. [Rep.-R-FL-21]",1/20/23,Referred to the House Committee on Ways and Means.,1/20/23,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 985,https://www.congress.gov/bill/118th-congress/house-bill/985,118th Congress (2023-2024),Productivity Over Pronouns Act,,"Nehls, Troy E. [Rep.-R-TX-22]",2/10/23,Referred to the House Committee on Oversight and Accountability.,2/10/23,Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 216,https://www.congress.gov/bill/118th-congress/house-bill/216,118th Congress (2023-2024),"My Child, My Choice Act of 2023",,"Van Drew, Jefferson [Rep.-R-NJ-2]",1/9/23,Referred to the House Committee on Education and the Workforce.,1/9/23,Education,"Teaching, teachers, curricula","Sex, gender, sexual orientation discrimination",Elementary and secondary education,Education programs funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 736,https://www.congress.gov/bill/118th-congress/house-bill/736,118th Congress (2023-2024),PROTECT Kids Act,,"Walberg, Tim [Rep.-R-MI-5]",2/1/23,Referred to the House Committee on Education and the Workforce.,2/1/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 992,https://www.congress.gov/bill/118th-congress/house-bill/992,118th Congress (2023-2024),Bicycles for Rural African Transport Act,,"Blumenauer, Earl [Rep.-D-OR-3]",2/14/23,Referred to the House Committee on Foreign Affairs.,2/14/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5636,https://www.congress.gov/bill/118th-congress/house-bill/5636,118th Congress (2023-2024),Protect Children’s Innocence Act,,"Greene, Marjorie Taylor [Rep.-R-GA-14]",9/21/23,Referred to the House Committee on the Judiciary.,9/21/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1064,https://www.congress.gov/bill/118th-congress/house-bill/1064,118th Congress (2023-2024),Ensuring Military Readiness Act of 2023,,"Banks, Jim [Rep.-R-IN-3]",2/17/23,Referred to the House Committee on Armed Services.,2/17/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1112,https://www.congress.gov/bill/118th-congress/house-bill/1112,118th Congress (2023-2024),Ensuring Military Readiness Act of 2023,,"Banks, Jim [Rep.-R-IN-3]",2/21/23,Referred to the House Committee on Armed Services.,2/21/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 224,https://www.congress.gov/amendment/118th-congress/house-amendment/224,118th Congress (2023-2024),"An amendment numbered 20 printed in House Report 118-142 to prohibit provision of gender transition procedures, including surgery or medication, through the Exceptional Family Member Program.",H.R. 2670,"Norman, Ralph [Rep.-R-SC-5]",,On agreeing to the Norman amendment (A009) Agreed to by recorded vote: 222 - 210 (Roll no. 302). ,7/13/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3101,https://www.congress.gov/bill/118th-congress/house-bill/3101,118th Congress (2023-2024),TPA Act,,"Lesko, Debbie [Rep.-R-AZ-8]",5/5/23,Referred to the House Committee on Foreign Affairs.,5/5/23,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4432,https://www.congress.gov/bill/118th-congress/house-bill/4432,118th Congress (2023-2024),LGBTQ+ Panic Defense Prohibition Act of 2023,,"Pappas, Chris [Rep.-D-NH-1]",6/30/23,Referred to the House Committee on the Judiciary.,6/30/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3328,https://www.congress.gov/bill/118th-congress/house-bill/3328,118th Congress (2023-2024),Protecting Children From Experimentation Act of 2023,,"LaMalfa, Doug [Rep.-R-CA-1]",5/15/23,Referred to the House Committee on the Judiciary.,5/15/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 691,https://www.congress.gov/amendment/118th-congress/house-amendment/691,118th Congress (2023-2024),An amendment numbered 63 printed in Part B of House Report 118-269 to prohibit funding for the White House Gender Policy Council.,H.R. 4664,"Harshbarger, Diana [Rep.-R-TN-1]",,On agreeing to the Harshbarger amendment (A036) Failed by recorded vote: 205 - 211 (Roll no. 635). ,11/8/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3102,https://www.congress.gov/bill/118th-congress/house-bill/3102,118th Congress (2023-2024),TSA Act,,"Lesko, Debbie [Rep.-R-AZ-8]",5/5/23,Referred to the Subcommittee on Transportation and Maritime Security.,5/5/23,Transportation and Public Works,Transportation safety and security,Aviation and airports,"Sex, gender, sexual orientation discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3924,https://www.congress.gov/bill/118th-congress/house-bill/3924,118th Congress (2023-2024),Passport Sanity Act,,"Roy, Chip [Rep.-R-TX-21]",6/7/23,Referred to the House Committee on Foreign Affairs.,6/7/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 237,https://www.congress.gov/amendment/118th-congress/house-amendment/237,118th Congress (2023-2024),An amendment numbered 35 printed in House Report 118-142 to prohibit the Department of Defense Education Activity schools from purchasing and having pornographic and radical gender ideology books in their libraries.,H.R. 2670,"Boebert, Lauren [Rep.-R-CO-3]",,On agreeing to the Boebert amendment (A022) Agreed to by recorded vote: 222 - 209 (Roll no. 314). ,7/13/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Amdt. 223,https://www.congress.gov/amendment/118th-congress/house-amendment/223,118th Congress (2023-2024),An amendment numbered 10 printed in House Report 118-142 to prohibit TRICARE from covering and the Department of Defense from furnishing sex reassignment surgeries and gender hormone treatments for transgender individuals.,H.R. 2670,"Rosendale Sr., Matthew M. [Rep.-R-MT-2]",,On agreeing to the Rosendale amendment (A008) Agreed to by recorded vote: 222 - 211 (Roll no. 301). ,7/13/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4876,https://www.congress.gov/bill/118th-congress/house-bill/4876,118th Congress (2023-2024),Equality in Laws Act,,"Lee, Summer L. [Rep.-D-PA-12]",7/25/23,Referred to the House Committee on the Judiciary.,7/25/23,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
