,Unnamed: 0,Match,Definition
18,18,gender harassment'' means,"Federal science agency.--The term ``Federal science agency'' means any Federal agency with an annual extramural research expenditure of over $100,000,000.(4) Finding or determination.--The term ``finding or determination'' means the final disposition of a matter involving a violation of organizational policies and processes, to include the exhaustion of permissible appeals, or a conviction of a sexual offense in a criminal court of law.(5) Gender harassment.--The term ``gender harassment'' means verbal and nonverbal behaviors that convey hostility, objectification, exclusion, or second-class status about one's gender, gender identity, gender presentation, sexual orientation, or pregnancy status.(6) Grantee.--The term ``grantee'' means the legal entity to which a grant is awarded and that is accountable to the Federal Government for the use of the funds provided.(7)"
19,19,gender analysis'' means,Gender analysis.--The term ``gender analysis'' means the examination of the differential impact of policies on different genders.(4)
20,20,gender-based violence''--(A) means,"Gender-based violence.--The term ``gender-based violence''--(A) means any harmful threat or act directed at an individual or group based on actual or perceived biological sex, gender identity or expression, sexual orientation, or lack of adherence to varying socially constructed norms around masculinity and femininity;(B) is rooted in structural gender inequalities, patriarchy, and power imbalances; and(C) includes the use or threat of physical, psychological, sexual, economic, legal, political, social and other forms of control or abuse.(5) Office.--The term ``Office'' means the Office of Global Women's Issues established by the Secretary of State pursuant to section 201(a).(6) Senior coordinator.--The term ``Senior Coordinator'' means the Senior Coordinator for Gender Equality and Women's Empowerment at the United States Agency for International Development appointed pursuant to section 202.(7) Violence against women and girls.--The term ``violence against women and girls''--(A) means any act of violence against women or girls that results in, or is likely to result in, physical, sexual, or psychological harm or suffering to women or girls, including threats of such acts, coercion, or arbitrary deprivations of liberty, whether occurring in public or private life; and(B) includes--(i) physical, sexual, and psychological violence occurring in the family, including battering, sexual abuse of female children in the household, dowry-related violence, marital rape, female genital cutting and mutilation, forced child marriage, and other harmful practices to women and girls, nonspousal violence, and violence related to exploitation;(ii) physical, sexual, and psychological violence occurring within the general community, including rape, sexual abuse, sexual harassment and intimidation at work, in educational institutions and elsewhere, trafficking in women and girls, and forced prostitution; and(iii) physical, sexual, and psychological violence perpetrated or condoned by the state, wherever it occurs."
21,21,gender identity'' means,"Gender identity.--The term ``gender identity'' means an individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(4)"
22,22,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means how a person identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other terms.(5) Survey.--The term ``survey'' means a data collection activity involving observation or questionnaires for a sample of a population and includes the decennial census."
23,23,gender identity' means,"Gender identity.--The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth."
24,24,orientation' means,"``(5) Sexual orientation.--The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
25,25,gender identity' means,"The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, without regard to the individual's designated sex at birth."
26,26,orientation' means,"The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
27,27,gender identity' means,"The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, without regard to the individual's designated sex at birth."
28,28,orientation' means,"The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality.''."
29,29,gender identity' means,"The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, without regard to the individual's designated sex at birth."
30,30,orientation' means,"The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
31,31,orientation' means,"`Sexual orientation' means homosexuality, heterosexuality, or bisexuality."
32,32,orientation' means,"The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
33,33,gender identity' means,"The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, without regard to the individual's designated sex at birth."
34,34,gender identity' means,"The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, without regard to the individual's designated sex at birth."
35,35,orientation' means,"The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality.''; and(3) in section 705, by inserting ``, sexual orientation, gender identity,'' after ``sex''.(e) Discrimination in Refugee Resettlement Prohibited.--Section 412(a)(5) of the Immigration and Nationality Act (8 U.S.C. 1522(a)(5)) is amended by inserting ``sexual orientation, gender identity,'' after ``sex,''.(f) Safe Schools.--Title IV of the Elementary and Secondary Education Act of 1965 (20 U.S.C. 7101 et seq.) is amended by adding at the end the following: ``PART G--SAFE SCHOOLS IMPROVEMENT``SEC."
36,36,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(5) National gender equity infrastructure.--The term ``national gender equity infrastructure'' means the horizontal and vertical network of title IX coordinators and their allies who work to advance gender equity and eliminate discrimination in the United States.(6)"
37,37,gender equity infrastructure'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(5) National gender equity infrastructure.--The term ``national gender equity infrastructure'' means the horizontal and vertical network of title IX coordinators and their allies who work to advance gender equity and eliminate discrimination in the United States.(6)"
38,38,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality.(9)"
39,39,orientation' means,"``(r) `Sexual orientation' means homosexuality, heterosexuality, or bisexuality.'';(2) in section 804, by inserting ``(including sexual orientation and gender identity)''"
40,40,gender specific services' means,"Gender Specific Services.--In this section, the term `gender specific services' means mammography, obstetric care, gynecological care, and such other services as the Secretary determines appropriate.''.(b)"
41,41,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(4) Pat-down.--The term ``pat-down'' means a physical inspection of a passenger's body, including the inspection of the head, hair, torso, breasts, groin, buttocks, or other body parts."
42,42,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the designated sex of the individual at birth.(5) Religion; sex (including sexual orientation and gender identity), or marital status.--The term ``religion, sex (including sexual orientation and gender identity), or marital status'', used with respect to an individual, includes--(A) the religion, sex (including sexual orientation and gender identity), or marital status, respectively, of another person with whom the individual is or has been associated; and(B) a perception or belief, even if inaccurate, concerning the religion, sex (including sexual orientation and gender identity), or marital status, respectively, of the individual.(6) Secretary.--The term ``Secretary'' means the Secretary of Health and Human Services.(7)"
43,43,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality.(9) State.--The term ``State'' means each of the 50 States of the United States, the District of Columbia, the Commonwealth of Puerto Rico, the United States Virgin Islands, Guam, the Commonwealth of the Northern Mariana Islands, and American Samoa."
44,44,gender identity'' means,"Gender identity.--The term ``gender identity'' means an individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(2) Sexual orientation.--The term ``sexual orientation'' means how a person identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other terms.(c) Authorization.--There is authorized to be appropriated $25,000,000 for fiscal year 2022 to carry out this section."
45,45,orientation'' means,"Gender identity.--The term ``gender identity'' means an individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(2) Sexual orientation.--The term ``sexual orientation'' means how a person identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other terms.(c) Authorization.--There is authorized to be appropriated $25,000,000 for fiscal year 2022 to carry out this section."
46,46,sex'' means,"Biological sex.--The term ``biological sex'' means the biological indication of male or female in the context of reproductive potential or capacity, including sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth.(3) ESEA terms.--The terms ``elementary school'' and ``parent'' have the meanings given such terms in section 8101 of the Elementary and Secondary Education Act of 1965 (20 U.S.C. 7801).(4)"
47,47,biological sex'' means,"Biological sex.--The term ``biological sex'' means the biological indication of male or female in the context of reproductive potential or capacity, including sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth.(3) ESEA terms.--The terms ``elementary school'' and ``parent'' have the meanings given such terms in section 8101 of the Elementary and Secondary Education Act of 1965 (20 U.S.C. 7801).(4)"
48,48,gender identity'' means,"Gender identity.--The term ``gender identity'' means an individual's perception of their own gender or claimed gender, regardless of the biological sex of the individual.(5) Lesson.--The term ``lesson'' means a planned and structured period of learning.(6) Secretary.--The term ``Secretary'' means the Secretary of Education.(7)"
49,49,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means an individual's actual or perceived romantic, physical or sexual attraction to other individuals, or lack thereof, on the basis of gender.(8) Transgender individual.--The term ``transgender individual'' means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9) Transgender studies.--The term ``transgender studies'' means the study of transgender individuals."
50,50,transgender individual'' means,"Sexual orientation.--The term ``sexual orientation'' means an individual's actual or perceived romantic, physical or sexual attraction to other individuals, or lack thereof, on the basis of gender.(8) Transgender individual.--The term ``transgender individual'' means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9) Transgender studies.--The term ``transgender studies'' means the study of transgender individuals."
51,51,transgender studies'' means,"Sexual orientation.--The term ``sexual orientation'' means an individual's actual or perceived romantic, physical or sexual attraction to other individuals, or lack thereof, on the basis of gender.(8) Transgender individual.--The term ``transgender individual'' means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9) Transgender studies.--The term ``transgender studies'' means the study of transgender individuals."
52,52,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(3) Person.--The term ``person'' means any individual, partnership, corporation, cooperative, association, or any other entity.(4)"
53,53,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality."
54,54,gender identity'' means,"Gender identity.--The term ``gender identity'' means, with respect to an individual, such individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(2) Sexual orientation.--The term ``sexual orientation'' means, with respect to an individual, how such individual identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other identifications."
55,55,orientation'' means,"Gender identity.--The term ``gender identity'' means, with respect to an individual, such individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(2) Sexual orientation.--The term ``sexual orientation'' means, with respect to an individual, how such individual identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other identifications."
56,56,gender identity' means,"Gender identity.--The term `gender identity' means, with respect to an individual, such individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth."
57,57,orientation' means,"Sexual orientation.--The term `sexual orientation' means, with respect to an individual, how such individual identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other identifications.''."
58,58,gender identity' means,"Gender identity.--The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth."
59,59,orientation' means,"Sexual orientation.--The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality.''.(b)"
60,60,sex' means,"Biological sex.--The term `biological sex' means the biological classification of male and female in the context of reproductive potential or capacity, as indicated by sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth, without regard to a person's psychological, chosen, or subjectively experienced sense of identity or gender."
61,61,biological sex' means,"Biological sex.--The term `biological sex' means the biological classification of male and female in the context of reproductive potential or capacity, as indicated by sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth, without regard to a person's psychological, chosen, or subjectively experienced sense of identity or gender."
62,62,gender identity' means,"Gender identity.--The term `gender identity' means a person's self-perceived identity, self-concept, or asserted gender, regardless of the person's biological sex."
63,63,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, or mannerisms or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(3) Intersex.--The term ``intersex'' means individuals born with sex characteristics (including genitals, gonads, or chromosome patterns) that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4) LGBTQI.--The term ``LGBTQI'' means lesbian, gay, bisexual, transgender, queer, or intersex.(5)"
64,64,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means actual or perceived homosexuality, heterosexuality, or bisexuality."
65,65,sex includes,"&lt;all&gt;</pre></body></html>""From the U.S. Government Publishing OfficeH.R. 6085 Introduced in House (IH)&lt;DOC&gt;117th CONGRESS1st SessionH. R. 6085 To amend the Fair Labor Standards Act of 1938 to provide that sex includes sexual orientation and gender identity, and for otherpurposes."
66,66,sex includes,"IN THE HOUSE OF REPRESENTATIVES November 30, 2021 Mr. Brown of Maryland (for himself, Mr. Higgins of New York, Mr.Kildee, Mrs. Carolyn B. Maloney of New York, Mr. Moulton, Ms. Roybal-Allard, and Mr. Tonko) introduced the following bill; which was referred to the Committee on Education and Labor A BILLTo amend the Fair Labor Standards Act of 1938 to provide that sex includes sexual orientation and gender identity, and for otherpurposes."
67,67,orientation' includes,"`Sexual orientation' includes homosexuality, heterosexuality, and bisexuality."
68,68,gender expression'' means,"Gender expression.--The term ``gender expression'' means the expression of one's gender, such as through behavior, clothing, haircut, or voice, and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7)"
69,69,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(8) Inclusive.--The term ``inclusive'' means content and skills that ensure marginalized young people are valued, respected, centered, and supported in sex education instruction and materials.(9) Institution of higher education.--The term ``institution of higher education'' has the meaning given the term in section 101 of the Higher Education Act of 1965 (20 U.S.C. 1001).(10) Interpersonal violence.--The term ``interpersonal violence'' means abuse, assault, bullying, dating violence, domestic violence, harassment, intimate partner violence, or stalking.(11)"
70,70,sex education'' means,"Sex education.--The term ``sex education'' means high quality teaching and learning that--(A) is delivered, to the maximum extent practicable, following the National Sexuality Education Standards of the Future of Sex Ed Initiative;(B) is about a broad variety of topics related to sex and sexuality, including--(i) puberty and adolescent development;(ii) sexual and reproductive anatomy and physiology;(iii) sexual orientation, gender identity, and gender expression;(iv) contraception, pregnancy, and reproduction;(v) HIV and other STIs;(vi) consent and healthy relationships; and(vii) interpersonal violence;(C) explores values and beliefs about such topics; and(D) helps young people in gaining the skills that are needed to navigate relationships and manage one's own sexual health.(16)"
71,71,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means an individual's romantic, emotional, or sexual attraction to other people.(19)"
72,72,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(3) LGBTQI.--The term ``LGBTQI'' means lesbian, gay, bisexual, transgender, queer, or intersex.(4)"
73,73,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means actual or perceived homosexuality, heterosexuality, or bisexuality."
74,74,queer resources' means,"queer resources.''; and(3) in paragraph (8) (as redesignated), by adding at the end the following:``(J) Lesbian, gay, bisexual, transgender, and queer resources.--The term `lesbian, gay, bisexual, transgender, and queer resources' means information that is related to homosexuality, bisexuality, transgender identity, transgender status, gender nonconformity, gender expansive, gender identity, sexual orientation, or related topics, except that such term does not include a visual depiction described in paragraph (5)(B)(i) or (6)(B)(i).''.(b) Conforming Amendments to Communications Act of 1934.--(1) Section 254.--Section 254(h)(4) of the Communications Act of 1934 (47 U.S.C. 254(h)(4)) is amended by striking ``paragraph (7)(A)'' and inserting ``paragraph (8)(A)''.(2) Section 271.--Section 271(g)(2) of the Communications Act of 1934 (47 U.S.C. 271(g)(2))"
75,75,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(2) Lavender scare.--The term ``Lavender Scare'' means any policy or action implemented by the Department of State between January 1, 1950, and January 1, 1994, whether formal or informal, that led to the termination of Department employees or perpetuated discrimination against any such employees on the basis of sexual orientation, whether real or perceived.(3) LGBTQI.--The term ``LGBTQI'' means lesbian, gay, bisexual, transgender, queer, or intersex.(4)"
76,76,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means actual or perceived homosexuality, heterosexuality, or bisexuality."
77,77,sex'' includes,"Congress reaffirmed in the Pregnancy Discrimination Act of 1978 that discrimination on the basis of ``sex'' includes but is not limited to discrimination on the basis of ``pregnancy, childbirth, or related medical conditions.''.(13)"
78,78,gender identity' means,"Gender identity.--The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth."
79,79,orientation' means,"Sexual orientation.--The term `sexual orientation' means an individual's actual or perceived romantic, physical, or sexual attraction to other persons, or lack thereof, that includes heterosexuality, homosexuality, and bisexuality."
80,80,gender identity' means,"Gender identity.--The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth."
81,81,orientation' means,"Sexual orientation.--The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
82,82,gender identity'--``(A) means,"908A. DEFINITIONS.``For purposes of this title--``(1) the term `gender identity'--``(A) means a person's internal sense of gender, which could be female, male, or another gender;``(B) includes a person's gender expression, which is how they present their gender identity outwardly, including through appearance, mannerisms, dress, or other gender-related characteristics; and``(C) may or may not match their designated sex at birth;``(2) the term `on the basis of sex' includes, inter alia, on the basis of, perceived or actual--``(A) sex stereotypes;``(B) pregnancy or related conditions, including--``(i) childbirth, termination of pregnancy, or lactation;``(ii) medical conditions related to pregnancy, childbirth, termination of pregnancy, or lactation; or``(iii) recovery from pregnancy, childbirth, termination of pregnancy, lactation, or their related medical conditions;``(C) sexual orientation;``(D) gender identity; or``(E) sex characteristics, including inter-sex traits;``(3)"
83,83,sex' includes,"908A. DEFINITIONS.``For purposes of this title--``(1) the term `gender identity'--``(A) means a person's internal sense of gender, which could be female, male, or another gender;``(B) includes a person's gender expression, which is how they present their gender identity outwardly, including through appearance, mannerisms, dress, or other gender-related characteristics; and``(C) may or may not match their designated sex at birth;``(2) the term `on the basis of sex' includes, inter alia, on the basis of, perceived or actual--``(A) sex stereotypes;``(B) pregnancy or related conditions, including--``(i) childbirth, termination of pregnancy, or lactation;``(ii) medical conditions related to pregnancy, childbirth, termination of pregnancy, or lactation; or``(iii) recovery from pregnancy, childbirth, termination of pregnancy, lactation, or their related medical conditions;``(C) sexual orientation;``(D) gender identity; or``(E) sex characteristics, including inter-sex traits;``(3)"
84,84,sex-based harassment'--``(A) means,"the term `recipient' means an entity described in any of paragraphs (1) through (4) of section 908 and includes any entity that exercises controlling authority over such recipient;``(4) the term `sex-based harassment'--``(A) means conduct on the basis of sex, including conduct of a sexual nature, that unreasonably alters a person's ability to participate in or receive any benefit, service, or opportunity from an education program or activity that receives Federal financial assistance, including by creating an intimidating, hostile, or offensive environment; and``(B) includes an employee, agent, or other person authorized by the recipient to provide an aid, benefit, or service under the recipient's education program or activity, explicitly or impliedly conditioning the provision of such an aid, benefit, or service on a person's participation in sexual conduct; and``(5) the term `sexual orientation' includes homosexuality, heterosexuality, bisexuality, pansexuality, and asexuality.''."
85,85,orientation' includes,"the term `recipient' means an entity described in any of paragraphs (1) through (4) of section 908 and includes any entity that exercises controlling authority over such recipient;``(4) the term `sex-based harassment'--``(A) means conduct on the basis of sex, including conduct of a sexual nature, that unreasonably alters a person's ability to participate in or receive any benefit, service, or opportunity from an education program or activity that receives Federal financial assistance, including by creating an intimidating, hostile, or offensive environment; and``(B) includes an employee, agent, or other person authorized by the recipient to provide an aid, benefit, or service under the recipient's education program or activity, explicitly or impliedly conditioning the provision of such an aid, benefit, or service on a person's participation in sexual conduct; and``(5) the term `sexual orientation' includes homosexuality, heterosexuality, bisexuality, pansexuality, and asexuality.''."
86,86,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual regardless of the designated sex at birth of the individual.(8) Indian tribe.--The term ``Indian Tribe'' has the meaning given the term in section 4(e) of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304(e)).(9)"
87,87,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality.(23)"
88,88,sex characteristics' means,"``(2) Definitions.--In paragraph (1):``(A) Individual born with variations in their physical sex characteristics.--The term `individual born with variations in their physical sex characteristics' means an individual born with physical traits, including genitals, gonads, hormone function, or chromosomal patterns, that vary from stereotypical notions regarding the development, appearance, or function of sex characteristics."
89,89,sex'' means,"Biological sex.--The term ``biological sex'' means the genetic classification of an individual as male or female, as reflected in the organization of the body of such individual for a reproductive role or capacity, such as through sex chromosomes, naturally occurring sex hormones, and internal and external genitalia present at birth, without regard to the subjective sense of identity of the individual.(2) Gender-transition procedure.--(A)"
90,90,biological sex'' means,"Biological sex.--The term ``biological sex'' means the genetic classification of an individual as male or female, as reflected in the organization of the body of such individual for a reproductive role or capacity, such as through sex chromosomes, naturally occurring sex hormones, and internal and external genitalia present at birth, without regard to the subjective sense of identity of the individual.(2) Gender-transition procedure.--(A)"
91,91,sex-selection abortion' means,"``(h) Definition.--In this section--``(1) the term `abortion' means the act of using or prescribing any instrument, medicine, drug, or any other substance, device, or means with the intent to--``(A) kill the unborn child of a woman known to be pregnant; or``(B) terminate the pregnancy of a woman known to be pregnant, with an intention other than--``(i) after viability to produce a live birth and preserve the life and health of the child born alive; or``(ii) to remove a dead unborn child; and``(2) the term `sex-selection abortion' means an abortion undertaken for purposes of eliminating an unborn child of an undesired sex.''.(b)"
92,92,biological samples and the means,"Determining the feasibility of collecting biological samples and the means by which such collection could be accomplished, including, at a minimum, through use of wearable and portable devices and the collection of blood and urine, to measure exposure in deployed environments.(5)"
0,0,gender expression'' means,"Gender expression.--The term ``gender expression'' means the expression of one's gender, such as through behavior, clothing, haircut, or voice, and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7)"
1,1,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(8) Inclusive.--The term ``inclusive'' means content and skills that ensure marginalized young people are valued, respected, centered, and supported in sex education instruction and materials.(9) Institution of higher education.--The term ``institution of higher education'' has the meaning given the term in section 101 of the Higher Education Act of 1965 (20 U.S.C. 1001).(10) Interpersonal violence.--The term ``interpersonal violence'' means abuse, assault, bullying, dating violence, domestic violence, harassment, intimate partner violence, or stalking.(11)"
