,match_no_punct,def_no_punct
17,gender harassment which includes,"according to the report issued by the national academies of sciences engineering and medicine in 2018 entitled   sexual harassment of women climate culture and consequences in academic sciences engineering and medicine--(a sexual harassment is pervasive in institutions of higher education;(b the most common type of sexual harassment is gender harassment which includes verbal and nonverbal behaviors that convey insulting hostile and degrading attitudes about members of one gender;(c 58 percent of individuals in the academic workplace experience sexual harassment the second highest rate when compared to the military the private sector and federal state and local government;(d women who are members of racial or ethnic minority groups are more likely to experience sexual harassment and to feel unsafe at work than white women white men or men who are members of such groups;(e the training for each individual who has a doctor of philosophy in the science technology engineering and mathematics fields is estimated to cost approximately $ 500,000 and(f attrition of an individual so trained results in a loss of talent and money.(2 sexual harassment undermines career advancement for women.(3"
18,gender harassment means,"federal science agency.--the term   federal science agency means any federal agency with an annual extramural research expenditure of over $ 100,000,000.(4 finding or determination.--the term   finding or determination means the final disposition of a matter involving a violation of organizational policies and processes to include the exhaustion of permissible appeals or a conviction of a sexual offense in a criminal court of law.(5 gender harassment.--the term   gender harassment means verbal and nonverbal behaviors that convey hostility objectification exclusion or second class status about one s gender gender identity gender presentation sexual orientation or pregnancy status.(6 grantee.--the term   grantee means the legal entity to which a grant is awarded and that is accountable to the federal government for the use of the funds provided.(7"
19,gender analysis means,gender analysis.--the term   gender analysis means the examination of the differential impact of policies on different genders.(4
20,gender based violence--(a means,gender based violence.--the term   gender based violence--(a means any harmful threat or act directed at an individual or group based on actual or perceived biological sex gender identity or expression sexual orientation or lack of adherence to varying socially constructed norms around masculinity and femininity;(b is rooted in structural gender inequalities patriarchy and power imbalances and(c includes the use or threat of physical psychological sexual economic legal political social and other forms of control or abuse.(5 office.--the term   office means the office of global women s issues established by the secretary of state pursuant to section 201(a).(6 senior coordinator.--the term   senior coordinator means the senior coordinator for gender equality and women s empowerment at the united states agency for international development appointed pursuant to section 202.(7 violence against women and girls.--the term   violence against women and girls--(a means any act of violence against women or girls that results in or is likely to result in physical sexual or psychological harm or suffering to women or girls including threats of such acts coercion or arbitrary deprivations of liberty whether occurring in public or private life and(b includes--(i physical sexual and psychological violence occurring in the family including battering sexual abuse of female children in the household dowry related violence marital rape female genital cutting and mutilation forced child marriage and other harmful practices to women and girls nonspousal violence and violence related to exploitation;(ii physical sexual and psychological violence occurring within the general community including rape sexual abuse sexual harassment and intimidation at work in educational institutions and elsewhere trafficking in women and girls and forced prostitution and(iii physical sexual and psychological violence perpetrated or condoned by the state wherever it occurs
21,gender identity means,gender identity.--the term   gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(4
22,orientation means,sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(5 survey.--the term   survey means a data collection activity involving observation or questionnaires for a sample of a population and includes the decennial census
23,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
24,orientation means,  5 sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
25,gender identity means,the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
26,orientation means,the term  sexual orientation means homosexuality heterosexuality or bisexuality
27,gender identity means,the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
28,orientation means,the term  sexual orientation means homosexuality heterosexuality or bisexuality
29,gender identity means,the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
30,orientation means,the term  sexual orientation means homosexuality heterosexuality or bisexuality
31,orientation means, sexual orientation means homosexuality heterosexuality or bisexuality
32,orientation means,the term  sexual orientation means homosexuality heterosexuality or bisexuality
33,gender identity means,the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
34,gender identity means,the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
35,orientation means,"the term  sexual orientation means homosexuality heterosexuality or bisexuality and(3 in section 705 by inserting   sexual orientation gender identity after   sex.(e discrimination in refugee resettlement prohibited.--section 412(a)(5 of the immigration and nationality act 8 u.s.c. 1522(a)(5 is amended by inserting   sexual orientation gender identity after   sex,.(f safe schools.--title iv of the elementary and secondary education act of 1965 20 u.s.c. 7101 et seq is amended by adding at the end the following   part g safe schools improvementsec"
36,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
37,gender equity infrastructure means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
38,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(9
39,orientation means,  r  sexual orientation means homosexuality heterosexuality or bisexuality ;(2 in section 804 by inserting   including sexual orientation and gender identity
40,gender specific services means,gender specific services.--in this section the term  gender specific services means mammography obstetric care gynecological care and such other services as the secretary determines appropriate .(b
41,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(4 pat down.--the term   pat down means a physical inspection of a passenger s body including the inspection of the head hair torso breasts groin buttocks or other body parts
42,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex of the individual at birth.(5 religion sex including sexual orientation and gender identity or marital status.--the term   religion sex including sexual orientation and gender identity or marital status used with respect to an individual includes--(a the religion sex including sexual orientation and gender identity or marital status respectively of another person with whom the individual is or has been associated and(b a perception or belief even if inaccurate concerning the religion sex including sexual orientation and gender identity or marital status respectively of the individual.(6 secretary.--the term   secretary means the secretary of health and human services.(7
43,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(9 state.--the term   state means each of the 50 states of the united states the district of columbia the commonwealth of puerto rico the united states virgin islands guam the commonwealth of the northern mariana islands and american samoa
44,gender identity means,"gender identity.--the term   gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(2 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(c authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2022 to carry out this section"
45,orientation means,"gender identity.--the term   gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(2 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(c authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2022 to carry out this section"
46,sex means,biological sex.--the term   biological sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
47,biological sex means,biological sex.--the term   biological sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
48,gender identity means,gender identity.--the term   gender identity means an individual s perception of their own gender or claimed gender regardless of the biological sex of the individual.(5 lesson.--the term   lesson means a planned and structured period of learning.(6 secretary.--the term   secretary means the secretary of education.(7
49,orientation means,sexual orientation.--the term   sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
50,transgender individual means,sexual orientation.--the term   sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
51,transgender studies means,sexual orientation.--the term   sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
52,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
53,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality
54,gender identity means,gender identity.--the term   gender identity means with respect to an individual such individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(2 sexual orientation.--the term   sexual orientation means with respect to an individual how such individual identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other identifications
55,orientation means,gender identity.--the term   gender identity means with respect to an individual such individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(2 sexual orientation.--the term   sexual orientation means with respect to an individual how such individual identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other identifications
56,gender identity means,gender identity.--the term  gender identity means with respect to an individual such individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth
57,orientation means,sexual orientation.--the term  sexual orientation means with respect to an individual how such individual identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other identifications
58,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
59,orientation means,sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality .(b
60,sex means,biological sex.--the term  biological sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
61,biological sex means,biological sex.--the term  biological sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
62,gender identity means,gender identity.--the term  gender identity means a person s self perceived identity self concept or asserted gender regardless of the person s biological sex
63,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(5
64,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
65,sex includes,lt;all&gt;</pre></body></html>from the u.s. government publishing officeh.r. 6085 introduced in house ih)&lt;doc&gt;117th congress1st sessionh. r. 6085 to amend the fair labor standards act of 1938 to provide that sex includes sexual orientation and gender identity and for otherpurposes
66,sex includes,in the house of representatives november 30 2021 mr. brown of maryland for himself mr. higgins of new york mr. kildee mrs. carolyn b. maloney of new york mr. moulton ms. roybal allard and mr. tonko introduced the following bill which was referred to the committee on education and labor a billto amend the fair labor standards act of 1938 to provide that sex includes sexual orientation and gender identity and for otherpurposes
67,orientation includes, sexual orientation includes homosexuality heterosexuality and bisexuality
68,gender expression means,gender expression.--the term   gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
69,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
70,sex education means,sex education.--the term   sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
71,orientation means,sexual orientation.--the term   sexual orientation means an individual s romantic emotional or sexual attraction to other people.(19
72,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
73,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
74,queer resources means,queer resources and(3 in paragraph 8) as redesignated by adding at the end the following:(j lesbian gay bisexual transgender and queer resources.--the term  lesbian gay bisexual transgender and queer resources means information that is related to homosexuality bisexuality transgender identity transgender status gender nonconformity gender expansive gender identity sexual orientation or related topics except that such term does not include a visual depiction described in paragraph 5)(b)(i or 6)(b)(i)..(b conforming amendments to communications act of 1934.--(1 section 254.--section 254(h)(4 of the communications act of 1934 47 u.s.c. 254(h)(4 is amended by striking   paragraph 7)(a and inserting   paragraph 8)(a).(2 section 271.--section 271(g)(2 of the communications act of 1934 47 u.s.c. 271(g)(2
75,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(2 lavender scare.--the term   lavender scare means any policy or action implemented by the department of state between january 1 1950 and january 1 1994 whether formal or informal that led to the termination of department employees or perpetuated discrimination against any such employees on the basis of sexual orientation whether real or perceived.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
76,orientation means,sexual orientation.--the term   sexual orientation means actual or perceived homosexuality heterosexuality or bisexuality
77,sex includes,congress reaffirmed in the pregnancy discrimination act of 1978 that discrimination on the basis of   sex includes but is not limited to discrimination on the basis of   pregnancy childbirth or related medical conditions .(13
78,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
79,orientation means,sexual orientation.--the term  sexual orientation means an individual s actual or perceived romantic physical or sexual attraction to other persons or lack thereof that includes heterosexuality homosexuality and bisexuality
80,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
81,orientation means,sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
82,gender identity--(a means,908a. definitions.for purposes of this title--(1 the term  gender identity--(a means a person s internal sense of gender which could be female male or another gender;(b includes a person s gender expression which is how they present their gender identity outwardly including through appearance mannerisms dress or other gender related characteristics and(c may or may not match their designated sex at birth;(2 the term  on the basis of sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
83,sex includes,908a. definitions.for purposes of this title--(1 the term  gender identity--(a means a person s internal sense of gender which could be female male or another gender;(b includes a person s gender expression which is how they present their gender identity outwardly including through appearance mannerisms dress or other gender related characteristics and(c may or may not match their designated sex at birth;(2 the term  on the basis of sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
84,sex based harassment--(a means,the term  recipient means an entity described in any of paragraphs 1 through 4 of section 908 and includes any entity that exercises controlling authority over such recipient;(4 the term  sex based harassment--(a means conduct on the basis of sex including conduct of a sexual nature that unreasonably alters a person s ability to participate in or receive any benefit service or opportunity from an education program or activity that receives federal financial assistance including by creating an intimidating hostile or offensive environment and(b includes an employee agent or other person authorized by the recipient to provide an aid benefit or service under the recipient s education program or activity explicitly or impliedly conditioning the provision of such an aid benefit or service on a person s participation in sexual conduct and(5 the term  sexual orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
85,orientation includes,the term  recipient means an entity described in any of paragraphs 1 through 4 of section 908 and includes any entity that exercises controlling authority over such recipient;(4 the term  sex based harassment--(a means conduct on the basis of sex including conduct of a sexual nature that unreasonably alters a person s ability to participate in or receive any benefit service or opportunity from an education program or activity that receives federal financial assistance including by creating an intimidating hostile or offensive environment and(b includes an employee agent or other person authorized by the recipient to provide an aid benefit or service under the recipient s education program or activity explicitly or impliedly conditioning the provision of such an aid benefit or service on a person s participation in sexual conduct and(5 the term  sexual orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
86,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex at birth of the individual.(8 indian tribe.--the term   indian tribe has the meaning given the term in section 4(e of the indian self determination and education assistance act 25 u.s.c. 5304(e)).(9
87,orientation means,sexual orientation.--the term   sexual orientation means homosexuality heterosexuality or bisexuality.(23
88,sex characteristics means,  2 definitions.--in paragraph 1):(a individual born with variations in their physical sex characteristics.--the term  individual born with variations in their physical sex characteristics means an individual born with physical traits including genitals gonads hormone function or chromosomal patterns that vary from stereotypical notions regarding the development appearance or function of sex characteristics
89,sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
90,biological sex means,biological sex.--the term   biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
91,sex selection abortion means,  h definition.--in this section--(1 the term  abortion means the act of using or prescribing any instrument medicine drug or any other substance device or means with the intent to--(a kill the unborn child of a woman known to be pregnant or(b terminate the pregnancy of a woman known to be pregnant with an intention other than--(i after viability to produce a live birth and preserve the life and health of the child born alive or(ii to remove a dead unborn child and(2 the term  sex selection abortion means an abortion undertaken for purposes of eliminating an unborn child of an undesired sex .(b
92,biological samples and the means,determining the feasibility of collecting biological samples and the means by which such collection could be accomplished including at a minimum through use of wearable and portable devices and the collection of blood and urine to measure exposure in deployed environments.(5
93,gender expression means,gender expression.--the term   gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
94,gender identity means,gender identity.--the term   gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
95,sex education means,sex education.--the term   sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
96,orientation means,sexual orientation.--the term   sexual orientation means an individual s romantic emotional or sexual attraction to other people.(19
97,sexuality education means,community organization.--the term   community organization means a public health care facility or a nonprofit organization that provides health- or sti related services according to established public health standards.(2 comprehensive sexuality education.--the term   comprehensive sexuality education means sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
98,sexuality education--(a that includes,community organization.--the term   community organization means a public health care facility or a nonprofit organization that provides health- or sti related services according to established public health standards.(2 comprehensive sexuality education.--the term   comprehensive sexuality education means sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
99,gender identity means,in general.--not later than 120 days after the date of enactment of this act the director of the centers for disease control and prevention shall take measures to improve the incidence of the collection of information on the sexual orientation and gender identity of deceased individuals through the national violent death reporting system or any successor programs.(b confidentiality.--any information collected relating to the sexual orientation or gender identity of a decedent shall be maintained in accordance with the confidentiality and privacy standards and policies for the protection of individuals applicable to all other data collected for purposes of the national violent death reporting system.(2 definitions.--in this subsection:(a gender identity.--the term   gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(b
100,orientation means,"sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(3 authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2023 to carry out this subsection.(b sense of congress.--it is the sense of the congress that--(1 the centers for disease control and prevention has made significant efforts to encourage states and other jurisdictions to collect data on sexual orientation and gender identity through the national violent death reporting system and(2 jurisdictions that participate in the collection of such data through the national violent death reporting system should be commended for their participation"
101,sex means,biological sex.--the term  biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual
102,biological sex means,biological sex.--the term  biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual
103,biological man means,biological man.--the term   biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
