,train
61,The term biological sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
62,The term gender identity means a person s self perceived identity self concept or asserted gender regardless of the person s biological sex
63,The term gender identity means the gender related identity appearance or mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 intersex.--the term   intersex means individuals born with sex characteristics including genitals gonads or chromosome patterns that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(5
64,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
65,The term sex includes sexual orientation and gender identity and for otherpurposes
66,The term sex includes sexual orientation and gender identity and for otherpurposes
67,The term orientation includes homosexuality heterosexuality and bisexuality
68,The term gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
69,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
70,The term sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
71,The term orientation means an individual s romantic emotional or sexual attraction to other people.(19
72,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
73,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
74,The term queer resources means information that is related to homosexuality bisexuality transgender identity transgender status gender nonconformity gender expansive gender identity sexual orientation or related topics except that such term does not include a visual depiction described in paragraph 5)(b)(i or 6)(b)(i)..(b conforming amendments to communications act of 1934.--(1 section 254.--section 254(h)(4 of the communications act of 1934 47 u.s.c. 254(h)(4 is amended by striking   paragraph 7)(a and inserting   paragraph 8)(a).(2 section 271.--section 271(g)(2 of the communications act of 1934 47 u.s.c. 271(g)(2
75,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(2 lavender scare.--the term   lavender scare means any policy or action implemented by the department of state between january 1 1950 and january 1 1994 whether formal or informal that led to the termination of department employees or perpetuated discrimination against any such employees on the basis of sexual orientation whether real or perceived.(3 lgbtqi.--the term   lgbtqi means lesbian gay bisexual transgender queer or intersex.(4
76,The term orientation means actual or perceived homosexuality heterosexuality or bisexuality
77,The term sex includes but is not limited to discrimination on the basis of   pregnancy childbirth or related medical conditions .(13
78,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
79,The term orientation means an individual s actual or perceived romantic physical or sexual attraction to other persons or lack thereof that includes heterosexuality homosexuality and bisexuality
80,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
81,The term orientation means homosexuality heterosexuality or bisexuality
82,The term gender identity--(a means a person s internal sense of gender which could be female male or another gender;(b includes a person s gender expression which is how they present their gender identity outwardly including through appearance mannerisms dress or other gender related characteristics and(c may or may not match their designated sex at birth;(2 the term  on the basis of sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
83,The term sex includes inter alia on the basis of perceived or actual--(a sex stereotypes;(b pregnancy or related conditions including--(i childbirth termination of pregnancy or lactation;(ii medical conditions related to pregnancy childbirth termination of pregnancy or lactation or(iii recovery from pregnancy childbirth termination of pregnancy lactation or their related medical conditions;(c sexual orientation;(d gender identity or(e sex characteristics including inter sex traits;(3
84,The term sex based harassment--(a means conduct on the basis of sex including conduct of a sexual nature that unreasonably alters a person s ability to participate in or receive any benefit service or opportunity from an education program or activity that receives federal financial assistance including by creating an intimidating hostile or offensive environment and(b includes an employee agent or other person authorized by the recipient to provide an aid benefit or service under the recipient s education program or activity explicitly or impliedly conditioning the provision of such an aid benefit or service on a person s participation in sexual conduct and(5 the term  sexual orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
85,The term orientation includes homosexuality heterosexuality bisexuality pansexuality and asexuality
86,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex at birth of the individual.(8 indian tribe.--the term   indian tribe has the meaning given the term in section 4(e of the indian self determination and education assistance act 25 u.s.c. 5304(e)).(9
87,The term orientation means homosexuality heterosexuality or bisexuality.(23
88,The term sex characteristics means an individual born with physical traits including genitals gonads hormone function or chromosomal patterns that vary from stereotypical notions regarding the development appearance or function of sex characteristics
89,The term sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
90,The term biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual.(2 gender transition procedure.--(a
91,The term sex selection abortion means an abortion undertaken for purposes of eliminating an unborn child of an undesired sex .(b
92,The term biological samples and the means by which such collection could be accomplished including at a minimum through use of wearable and portable devices and the collection of blood and urine to measure exposure in deployed environments.(5
93,The term gender expression means the expression of one s gender such as through behavior clothing haircut or voice and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7
94,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(8 inclusive.--the term   inclusive means content and skills that ensure marginalized young people are valued respected centered and supported in sex education instruction and materials.(9 institution of higher education.--the term   institution of higher education has the meaning given the term in section 101 of the higher education act of 1965 20 u.s.c. 1001).(10 interpersonal violence.--the term   interpersonal violence means abuse assault bullying dating violence domestic violence harassment intimate partner violence or stalking.(11
95,The term sex education means high quality teaching and learning that--(a is delivered to the maximum extent practicable following the national sexuality education standards of the future of sex ed initiative;(b is about a broad variety of topics related to sex and sexuality including--(i puberty and adolescent development;(ii sexual and reproductive anatomy and physiology;(iii sexual orientation gender identity and gender expression;(iv contraception pregnancy and reproduction;(v hiv and other stis;(vi consent and healthy relationships and(vii interpersonal violence;(c explores values and beliefs about such topics and(d helps young people in gaining the skills that are needed to navigate relationships and manage one s own sexual health.(16
96,The term orientation means an individual s romantic emotional or sexual attraction to other people.(19
97,The term sexuality education means sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
98,The term sexuality education--(a that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices and(b that is--(i evidence based;(ii medically accurate;(iii age and developmentally appropriate;(iv gender and identity sensitive;(v culturally and linguistically appropriate and(vi structured to promote critical thinking self esteem respect for others and the development of healthy attitudes and relationships.(3 correctional facility.--the term   correctional facility means any prison penitentiary adult detention facility juvenile detention facility jail or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the united states.(4
99,The term gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(b
100,"The term orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(3 authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2023 to carry out this subsection.(b sense of congress.--it is the sense of the congress that--(1 the centers for disease control and prevention has made significant efforts to encourage states and other jurisdictions to collect data on sexual orientation and gender identity through the national violent death reporting system and(2 jurisdictions that participate in the collection of such data through the national violent death reporting system should be commended for their participation"
101,The term sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual
102,The term biological sex means the genetic classification of an individual as male or female as reflected in the organization of the body of such individual for a reproductive role or capacity such as through sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth without regard to the subjective sense of identity of the individual
103,The term biological man means an individual who is recognized as a male on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(2 biological sex.--the term   biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
104,The term sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
105,The term biological sex means the sex recognized on the date of birth of the individual based on the genetic and reproductive biological characteristics of such individual.(3 biological woman.--the term   biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
106,The term biological woman means an individual who is recognized as a female on the date of the birth of such individual based on the genetic and reproductive biological characteristics of such individual.(4 covered school.--the term   covered school means an elementary school or secondary school as such terms are defined in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(5 racial discrimination theory.--the term   racial discrimination theory means a theory that promotes one or more of the following:(a that racial oppression is based exclusively on race ethnicity color national origin or a combination of such attributes.(b that individuals of a certain race ethnicity color or national origin are inherently superior or inferior to individuals of a different race ethnicity color or national origin.(c that an individual should be treated adversely or advantageously based on the race ethnicity color or national origin of such individual.(d that individuals based on race ethnicity color or national origin bear collective guilt and are inherently responsible for actions committed in the past by individuals of the same race ethnicity color or national origin.(6 obscene material.--the term   obscene material means material that considered as a whole--(a appeals to--(i
107,The term orientation means homosexuality heterosexuality or bisexuality
108,The term sex includes a demonstration by the covered entity that it has--(i established adequately publicized and enforced an effective and comprehensive harassment prevention policy and complaint procedure that is likely to provide redress and avoid harm without exposing the person subjected to the harassment to undue risk effort or expense;(ii if requested by the aggrieved person or otherwise deemed necessary to protect the aggrieved person or other persons within the program or activity from a significant ongoing threat undertaken a prompt thorough and impartial investigation unless the allegations are patently frivolous;(iii provided supportive measures that had the purpose and effect of preserving and restoring the aggrieved person s equal access to the education program or activity regardless of whether the aggrieved person requested an investigation and(iv after receiving notice taken other necessary immediate and appropriate corrective action designed to stop the harassment that occurred and correct its effects regardless of whether the aggrieved person experienced subsequent harassment .(b
109,The term female circumcision means the intentional removal or infibulation or both of either the whole or part of the external female genitalia for non medical reasons
110,The term female genitalia includes the pubis labia minora labia majora clitoris and urethral and vaginal openings
111,The term sex trafficking means conduct--(i consisting of--(i recruiting enticing harboring transporting providing obtaining advertising maintaining patronizing or soliciting by any means a person or(ii benefitting financially or by receiving anything of value from participation in a venture that has engaged in an act described in subclause i and(ii carried out with the knowledge or except where the act constituting the violation of clause i is advertising in reckless disregard of the fact that--(i means of force threats of force fraud coercion or any combination of such means will be used to cause the person to engage in a commercial sex act or(ii the person has not attained the age of 18 years and will be caused to engage in a commercial sex act
112,The term gender analysis--(a means a socioeconomic analysis of available or gathered quantitative and qualitative information to identify understand and explain gaps between men and women which typically involves examining--(i differences in the status of women and men and differential access to and control over assets resources education opportunities and services;(ii the influence of gender roles structural barriers and norms on the division of time between paid unpaid work including the subsistence production and care for family members and volunteer activities;(iii the influence of gender roles structural barriers and norms on leadership roles and decision making constraints opportunities and entry points for narrowing gender gaps and empowering women and(iv potential differential impacts of development policies and programs on men and women including unintended or negative consequences and(b includes conclusions and recommendations to enable development policies and programs--(i to narrow gender gaps and(ii to improve the lives of women and girls.(5 office.--the term   office means the office of global women s issues established by the secretary of state pursuant to section 202(a).(6
113,The term orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
114,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
115,The term orientation means homosexuality heterosexuality or bisexuality
116,The term gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
117,The term gender means the psychological behavioral social and cultural aspects of being male or female
118,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
119,The term gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
120,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
121,The term sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
122,The term cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
